"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"5013",3e+05,0.3,0.001,-1,0.507588013044562,1.66683800015094e-05,0.00175955528524336,-0.00054638110293529,0.00123576799798993,1.16796678887956,0.0222173209538281,5.84657076403671e-06,0.000505883124904966,0.000251703774435617,0.000617384546869364,0.419875216461373,"cl1"
"6013",30000,0.8,0.001,-1,0.513392581606696,0.000313916546703724,0.00941014042465116,-0.00434917400176302,0.00825175532483689,2.37269339955978,0.0272406167942523,0.00011686316692923,0.00279232259307483,0.00141184813349286,0.00509410063724023,0.957475340373244,"cl1"
"7013",3e+05,0.8,0.001,-1,0.504311736886148,8.57843329726341e-06,0.000974247338597391,-0.000285004518839434,0.000580395704677535,0.572291292879687,0.0206470346254199,2.80536760613427e-06,0.000280259862885818,0.000209872306967269,0.00042189969481625,0.184460016067619,"cl1"
"8013",30000,0.3,0.01,0,1,-0.00108729151335017,-0.0173556536198751,-0.00164542098998168,-0.0470407825659615,-0.688010949096675,0,0.00184786254461121,0.0145241266377325,0.0166890648967456,NA,0.229806032386271,"cl1"
"9013",3e+05,0.3,0.01,0,0.534980470159984,2.88683927045365e-05,0.00294752808334434,-0.00216068458743798,0.00228850887515499,2.47707199203662,0.0147528401479085,2.23091910428562e-06,0.000192905583177582,0.000191587017536999,0.00198972693448632,0.26677238581727,"cl1"
"10013",30000,0.8,0.01,0,0.629444811234208,2.23004635534044e-05,0.000566711655978333,-0.00857311542216486,-0.0101590714895145,0.108741401277393,0.0974831887193047,0.000140942160651063,0.00330518233548256,0.00423648679486197,0.0120896180907659,0.320037924204937,"cl1"
"11013",3e+05,0.8,0.01,0,0.511817566581984,2.10587140686386e-05,0.00239821593350315,-0.00122725562706637,0.00218023071173174,2.07394567040141,0.0101600030312484,1.46075943699659e-06,0.000136105002767187,0.000101664611617724,0.000617581549129542,0.170410073369893,"cl1"
"12013",30000,0.3,0.001,0,0.534655668216338,0.000298684308322201,0.00950520807385052,-0.00676141273751183,0.00893290280527657,2.61415492208091,0.049934788008608,7.53070471119472e-05,0.00191351940280372,0.00185686613313067,0.0183691734573133,0.835435910508724,"cl1"
"13013",3e+05,0.3,0.001,0,0.506503402821469,1.41907848768382e-05,0.00163514504454895,-0.00056850054813156,0.00117486885458531,1.19682951430735,0.0223084953702566,4.97302843778785e-06,0.000487309801157494,0.000238113957138782,0.000696899115604034,0.428173432945644,"cl1"
"14013",30000,0.8,0.001,0,0.509502960070476,0.000212260069554939,0.00759999553673822,-0.00395202912548219,0.00668995597816579,2.11648967622304,0.0294475739019416,4.68119699396798e-05,0.00133669425725108,0.00112027533621388,0.00577983967925405,0.531715254137896,"cl1"
"15013",3e+05,0.8,0.001,0,0.502515795454535,1.03647581968592e-05,0.00120896146076648,-0.000316910151678798,0.000820507082891869,0.795581231360056,0.0198292449654263,4.09215666975909e-06,0.000408094968961096,0.000209221959012875,0.000436400175629773,0.313169137169528,"cl1"
"16013",30000,0.3,0.01,1,1,-0.00143007141121466,-0.0257046819305404,-0.00326772085119406,-0.00951725840669936,-0.823012914577154,0,0.00133162370255536,0.0164106827249807,0.014372798853992,0.0120509730107655,0.16663128530339,"cl1"
"17013",3e+05,0.3,0.01,1,0.534230197977545,3.03988659859165e-05,0.00305709287606467,-0.00238355308780367,0.00263294578563931,2.57563993005631,0.0172884049620942,2.20940784526801e-06,0.000182472557148961,0.000201402923105444,0.00547983914448648,0.248092689416474,"cl1"
"18013",30000,0.8,0.01,1,0.680871426071349,-0.000144471546811633,-0.0033037928951725,-0.00656545560685575,-0.0178698545664888,-0.232967017010129,0.101315594847856,0.000213538285986119,0.00392195523002777,0.00481438632507482,0.0201550604479012,0.23059232894868,"cl1"
"19013",3e+05,0.8,0.01,1,0.511059518454485,2.08952603261329e-05,0.00242275829591366,-0.00123669674204341,0.00249292642335592,2.17827134550317,0.00984810626382987,1.25358925812387e-06,0.00011871160296866,0.000100241233162914,0.00135179783400932,0.15593224615587,"cl1"
"20013",30000,0.3,0.001,1,0.542891998438608,0.000290057868440763,0.00919956139484214,-0.0074423274983231,-0.00604199994114209,2.49850141506536,0.0533690298480837,8.461465246077e-05,0.00239480498223554,0.00207855605513772,0.0218803934675023,0.932193930228723,"cl1"
"21013",3e+05,0.3,0.001,1,0.502824891238014,1.32480869074134e-05,0.00153326018818279,-0.000459813428906325,0.00169737772924054,1.09168829443204,0.0216549420086374,4.5721359769179e-06,0.000445694820670562,0.000206105508912963,0.000986739422878607,0.379359421297808,"cl1"
"22013",30000,0.8,0.001,1,0.510064033477178,0.000210401240491852,0.00764374648105713,-0.00391396054654827,0.00977772635459346,2.17808006350013,0.0257582462431054,3.56749667946184e-05,0.00106288743687437,0.000854975395521975,0.0131120789065447,0.477320789220403,"cl1"
"23013",3e+05,0.8,0.001,1,0.499293425791212,1.01293804711595e-05,0.00116820085961014,-0.000272802414416994,0.00112366189500565,0.769157410406308,0.0197827547897455,5.18755425390104e-06,0.000526493927120102,0.000188985241751847,0.000637502249299162,0.395304448686582,"cl1"
"14",30000,0.3,0.01,-1,1,-0.00108201183375712,-0.0230804604800492,0.00842559239265357,-0.0212308083427754,-0.881647526884044,0,0.000767323230809501,0.00753880802996373,0.0107580434638529,0.0189603712163218,0.123418733170369,"cl2"
"1014",3e+05,0.3,0.01,-1,0.498158788010978,1.46065286374851e-05,0.0015302521305093,-0.00219689498373243,0.00260976307852849,0.919540821419088,0.0159060946215304,2.03471426694803e-06,0.000209365341534226,0.000151655270078828,0.0009828524938798,0.180511504266282,"cl2"
"2014",30000,0.8,0.01,-1,0.804545676122983,-0.000330139681489796,-0.00959359351639681,-0.00315192409064424,-0.00389271008157395,-0.669903381803785,0.0875089877957218,0.000143638522273139,0.00325745024474045,0.00267515936721618,0.013794590953641,0.122258775356613,"cl2"
"3014",3e+05,0.8,0.01,-1,0.484089442572553,1.74717789842729e-05,0.00187369235863246,-0.00149930253699569,0.00233529685299004,1.27620867269987,0.00859637106264519,3.75748314956713e-06,0.000299403126176313,0.0001046119745417,0.000398785314702902,0.282144619494886,"cl2"
